Comment,Designator,Footprint,LCSC,Quantity
1.5k,R22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,1
100k,"R10,R14,R3,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C22356675,4
4.7k,"R17,R18,R19,R20,R23",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C22356680,5
680,R21,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17798,1
BSS138,"Q1,Q2,Q3,Q4",SOT-23,C52895,4
Fan_4pin,"M1,M2,M3,M4",FanPinHeader_1x04_P2.54mm_Vertical,C19795120,4
LED,"D1,D2,D3",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296,3
TPS22810DBV,"U3,U4,U5,U6",SOT-23-6,C205990,4
Conn_01x04_Socket,J2,TerminalBlock_Altech_AK300-4_P5.00mm,,1
TestPoint_Probe,TP7,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP16,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
Conn_01x02_Socket,J1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,,1
TestPoint_Probe,TP14,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP18,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP3,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP17,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP9,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP15,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP4,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP10,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP11,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP13,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
1uF,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
TestPoint_Probe,TP20,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
1uF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1uF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
TestPoint_Probe,TP5,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
~,U2,buck_boost_module,,1
TestPoint_Probe,TP21,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP2,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP8,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
1uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
TestPoint_Probe,TP19,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP12,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint_Probe,TP6,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
ESP32-DevKitC,U1,nodemcu-32s,,1
1uF,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100nF,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100nF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1uF,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100nF,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100nF,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1uF,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1uF,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
