Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,161.5,-129.0,180.0,top
C10,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.7125,-128.4,90.0,top
C11,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.5125,-128.4,90.0,top
C12,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.5375,-128.5,90.0,top
C2,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.875,-128.9,180.0,top
C3,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.675,-128.9,180.0,top
C4,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.475,-128.9,180.0,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.4125,-128.4,90.0,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.2125,-128.4,90.0,top
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.0125,-128.4,90.0,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,167.0375,-128.5,90.0,top
C9,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.9125,-128.4,90.0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,159.975,-121.5,0.0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,188.475,-136.5,180.0,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,177.0,-76.525,90.0,top
J1,Conn_01x02_Socket,AMASS_XT30U-M_1x02_P5.0mm_Vertical,187.5,-68.0,-90.0,top
J2,Conn_01x04_Socket,TerminalBlock_Altech_AK300-4_P5.00mm,116.0,-56.0,180.0,top
M1,Fan_4pin,FanPinHeader_1x04_P2.54mm_Vertical,109.1225,-141.0525,0.0,top
M2,Fan_4pin,FanPinHeader_1x04_P2.54mm_Vertical,127.9225,-141.0525,0.0,top
M3,Fan_4pin,FanPinHeader_1x04_P2.54mm_Vertical,146.7225,-141.0525,0.0,top
M4,Fan_4pin,FanPinHeader_1x04_P2.54mm_Vertical,166.7475,-141.1525,0.0,top
Q1,BSS138,SOT-23,105.0,-113.5625,-90.0,top
Q2,BSS138,SOT-23,123.0,-113.5625,-90.0,top
Q3,BSS138,SOT-23,117.0,-113.5625,-90.0,top
Q4,BSS138,SOT-23,111.0,-113.5625,-90.0,top
R10,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,141.5125,-133.4,180.0,top
R14,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,161.5375,-133.5,180.0,top
R17,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.2,-131.5,90.0,top
R18,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,135.0,-131.5,90.0,top
R19,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.8,-131.5,90.0,top
R20,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.825,-131.6,90.0,top
R21,680,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.0,-118.0,0.0,top
R22,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,188.5,-133.0,180.0,top
R23,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.5,-76.525,90.0,top
R3,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.9125,-133.4,180.0,top
R6,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.7125,-133.4,180.0,top
U1,ESP32-DevKitC,nodemcu-32s,142.31816,-91.37,180.0,top
U2,~,buck_boost_module,178.0,-103.0,0.0,top
U3,TPS22810DBV,SOT-23-6,110.775,-134.45,0.0,top
U4,TPS22810DBV,SOT-23-6,129.575,-134.45,0.0,top
U5,TPS22810DBV,SOT-23-6,148.375,-134.45,0.0,top
U6,TPS22810DBV,SOT-23-6,168.4,-134.55,0.0,top
